week_number,Origin,Total_Flights,Total_Duration_of_Flights,Max_Duration_of_Flights,Min_Duration_of_Flights,Median_Duration_of_Flights,Mean_Duration_of_Flights,Mean_Duration_of_Flights_pd,Highest_Traffic_Origin_Airport,Highest_Traffic_Destination_Airport,Most_Common_Flight_Path,Unique_Flight_Paths,Unique_Carriers,Count_of_Arrival_Delays,Mean_Arrival_Delays,Count_of_Departure_Delay,Mean_Departure_Delay,Total_Distance,Mean_Distance,Total_Cancelled_Flights,Count_Carrier_Delay,Mean_Carrier_Delay,Count_Weather_Delay,Mean_Weather_Delay,Count_NAS_Delay,Mean_NAS_Delay,Count_Security_Delay,Mean_Security_Delay,Count_Late_Aircraft_Delay,Mean_Late_Aircraft_Delay
40,BOS,1078,128890.0,386.0,30.0,91.0,119.56400742115028,119.56400742115028,BOS,LGA,BOS_LGA,256,10,1078,5.834879406307977,1080,6.208333333333333,716564.0,658.0018365472911,9,0,,0,,0,,0,,0,
40,BTM,8,191.0,35.0,20.0,22.5,23.875,23.875,BTM,BZN,BTM_BZN,2,1,8,3.875,8,0.0,520.0,65.0,0,0,,0,,0,,0,,0,
40,BTR,101,6705.0,97.0,25.0,71.0,66.38613861386139,66.38613861386139,BTR,DFW,BTR_DFW,27,4,101,3.0297029702970297,101,1.0396039603960396,33701.0,333.6732673267327,0,0,,0,,0,,0,,0,
40,BTV,70,5218.0,132.0,35.0,71.0,74.54285714285714,74.54285714285714,BTV,EWR,BTV_EWR,20,4,70,8.014285714285714,70,3.7285714285714286,24451.0,344.38028169014086,1,0,,0,,0,,0,,0,
40,BUF,300,21010.0,224.0,24.0,66.0,70.03333333333333,70.03333333333333,BUF,EWR,BUF_EWR,85,7,300,4.89,300,3.43,99735.0,330.24834437086093,2,0,,0,,0,,0,,0,
40,BUR,283,24191.0,320.0,24.0,68.0,85.48056537102474,85.48056537102474,BUR,SFO,BUR_SFO,92,8,283,12.318021201413428,283,8.180212014134275,135676.0,444.83934426229507,22,0,,0,,0,,0,,0,
40,BWI,698,66800.0,297.0,30.0,79.0,95.70200573065902,95.70200573065902,BWI,ATL,BWI_ATL,180,10,698,7.770773638968481,698,5.8810888252149,349274.0,495.4241134751773,7,0,,0,,0,,0,,0,
40,BZN,39,2397.0,147.0,20.0,60.0,61.46153846153846,61.46153846153846,BZN,SLC,BZN_SLC,11,3,39,-3.7435897435897436,39,-1.0,13874.0,322.6511627906977,4,0,,0,,0,,0,,0,
40,CAE,128,7060.0,125.0,23.0,52.0,55.15625,55.15625,CAE,ATL,CAE_ATL,35,5,128,1.53125,128,1.1796875,30678.0,235.98461538461538,2,0,,0,,0,,0,,0,
40,CAK,61,3527.0,98.0,18.0,55.0,57.81967213114754,57.81967213114754,CAK,ORD,CAK_ORD,16,5,61,1.0819672131147542,61,2.8524590163934427,15587.0,255.52459016393442,0,0,,0,,0,,0,,0,
40,CCR,16,1145.0,81.0,66.0,70.5,71.5625,71.5625,CCR,LAX,CCR_LAX,5,1,16,1.8125,16,1.3125,5536.0,346.0,0,0,,0,,0,,0,,0,
40,CDV,7,300.0,46.0,36.0,45.0,42.857142857142854,42.857142857142854,CDV,['ANC' 'YAK'],['CDV_ANC' 'CDV_YAK'],2,1,7,42.857142857142854,7,42.142857142857146,1492.0,186.5,1,0,,0,,0,,0,,0,
40,CHA,56,2486.0,70.0,32.0,39.5,44.392857142857146,44.392857142857146,CHA,ATL,CHA_ATL,15,4,56,2.482142857142857,56,0.48214285714285715,9070.0,161.96428571428572,0,0,,0,,0,,0,,0,
40,CHO,16,678.0,82.0,24.0,37.5,42.375,42.375,CHO,['LYH' 'ROA'],['CHO_LYH' 'CHO_ROA'],5,1,16,5.5625,16,2.6875,2694.0,158.47058823529412,1,0,,0,,0,,0,,0,
40,CHS,161,9550.0,161.0,22.0,57.0,59.316770186335404,59.316770186335404,CHS,ATL,CHS_ATL,44,5,161,0.7391304347826086,161,0.39751552795031053,44502.0,274.7037037037037,1,0,,0,,0,,0,,0,
40,CID,75,4281.0,123.0,24.0,49.0,57.08,57.08,CID,STL,CID_STL,20,5,75,1.0533333333333332,75,1.4133333333333333,21831.0,287.25,1,0,,0,,0,,0,,0,
40,CLE,579,50620.0,307.0,21.0,77.0,87.426597582038,87.426597582038,CLE,ORD,CLE_ORD,157,10,579,3.5803108808290154,582,4.213058419243986,284167.0,486.58732876712327,2,0,,0,,0,,0,,0,
40,CLT,1047,81154.0,332.0,27.0,68.0,77.51098376313276,77.51098376313276,CLT,ATL,CLT_ATL,279,9,1047,6.302769818529131,1048,5.809160305343512,412390.0,391.2618595825427,6,0,,0,,0,,0,,0,
40,CMH,295,21602.0,187.0,22.0,70.0,73.2271186440678,73.2271186440678,CMH,ORD,CMH_ORD,84,9,295,3.2542372881355934,295,3.077966101694915,110339.0,370.26510067114094,3,0,,0,,0,,0,,0,
40,CMI,27,1095.0,56.0,20.0,42.0,40.55555555555556,40.55555555555556,CMI,DAY,CMI_DAY,7,2,27,3.814814814814815,27,1.6296296296296295,4281.0,158.55555555555554,0,0,,0,,0,,0,,0,
40,COS,97,7022.0,134.0,17.0,85.0,72.3917525773196,72.3917525773196,COS,DEN,COS_DEN,28,6,97,1.556701030927835,97,1.443298969072165,38974.0,397.6938775510204,1,0,,0,,0,,0,,0,
40,CPR,29,1586.0,70.0,43.0,54.0,54.689655172413794,54.689655172413794,CPR,DEN,CPR_DEN,8,3,29,-0.5172413793103449,29,0.7586206896551724,8719.0,290.6333333333333,1,0,,0,,0,,0,,0,
40,CRP,51,2756.0,80.0,37.0,47.0,54.03921568627451,54.03921568627451,CRP,HOU,CRP_HOU,16,3,51,0.23529411764705882,51,-0.0196078431372549,11737.0,230.13725490196077,0,0,,0,,0,,0,,0,
40,CRW,58,2846.0,98.0,20.0,47.0,49.06896551724138,49.06896551724138,CRW,PIT,CRW_PIT,17,3,58,6.068965517241379,58,4.413793103448276,12491.0,215.36206896551724,0,0,,0,,0,,0,,0,
40,CSG,12,447.0,44.0,30.0,37.5,37.25,37.25,CSG,ATL,CSG_ATL,4,1,12,7.833333333333333,12,0.5833333333333334,996.0,83.0,0,0,,0,,0,,0,,0,
40,CVG,666,61619.0,300.0,22.0,80.0,92.52102102102103,92.52102102102103,CVG,ORD,CVG_ORD,175,9,666,10.493993993993994,667,4.805097451274363,347453.0,517.8137108792846,4,0,,0,,0,,0,,0,
40,CWA,17,1084.0,97.0,44.0,54.0,63.76470588235294,63.76470588235294,CWA,MSP,CWA_MSP,6,1,17,8.764705882352942,17,4.529411764705882,3915.0,230.2941176470588,0,0,,0,,0,,0,,0,
40,DAB,67,4155.0,106.0,23.0,69.0,62.014925373134325,62.014925373134325,DAB,ATL,DAB_ATL,19,4,67,2.014925373134328,67,0.417910447761194,19757.0,294.8805970149254,0,0,,0,,0,,0,,0,
40,DAL,377,19739.0,100.0,34.0,50.0,52.358090185676396,52.358090185676396,DAL,HOU,DAL_HOU,128,1,377,-0.9496021220159151,377,3.7612732095490715,99031.0,262.6816976127321,0,0,,0,,0,,0,,0,
40,DAY,407,31592.0,292.0,25.0,65.0,77.62162162162163,77.62162162162163,DAY,ORD,DAY_ORD,108,7,407,4.712530712530713,408,3.0955882352941178,170092.0,413.8491484184915,3,0,,0,,0,,0,,0,
40,DCA,923,84463.0,231.0,25.0,79.0,91.5092091007584,91.5092091007584,DCA,LGA,DCA_LGA,250,10,923,5.105092091007584,925,3.9675675675675675,433228.0,463.84154175588867,9,0,,0,,0,,0,,0,
40,DEN,1948,248805.0,410.0,21.0,126.0,127.72330595482546,127.72330595482546,DEN,ORD,DEN_ORD,490,10,1948,-1.876283367556468,1951,3.832393644284982,1640592.0,838.3198773633112,6,0,,0,,0,,0,,0,
40,DFW,2241,267663.0,472.0,39.0,114.0,119.43908969210175,119.43908969210175,DFW,IAH,DFW_IAH,519,10,2241,2.2655064703257475,2245,3.3933184855233853,1715240.0,761.651865008881,7,0,,0,,0,,0,,0,
