Year,week_number,Total_Flights
1994,42,1101
1994,43,1030
1994,44,1014
1994,45,974
1994,46,1017
1994,47,958
1994,48,1057
1994,49,1010
1994,50,1052
1994,51,1039
1994,52,1184
1995,1,1087
1995,2,976
1995,3,1064
1995,4,1014
1995,5,1022
1995,6,1086
1995,7,1010
1995,8,1021
1995,9,1050
1995,10,1099
1995,11,990
1995,12,1081
1995,13,1025
1995,14,1009
1995,15,1006
1995,16,1032
1995,17,1050
1995,18,1039
1995,19,1008
1995,20,1056
1995,21,994
1995,22,1040
1995,23,1007
1995,24,1098
1995,25,1077
1995,26,988
1995,27,1029
1995,28,1039
1995,29,1119
1995,30,1038
1995,31,1010
1995,32,1037
1995,33,989
1995,34,1062
1995,35,1036
1995,36,1013
1995,37,1062
1995,38,1066
1995,39,1014
1995,40,1041
1995,41,982
1995,42,1013
1995,43,987
1995,44,1018
1995,45,1048
1995,46,1005
1995,47,930
1995,48,1021
1995,49,1051
1995,50,920
1995,51,1007
1995,52,1166
1996,1,1207
1996,2,950
1996,3,989
1996,4,984
1996,5,997
1996,6,1018
1996,7,1019
1996,8,1011
1996,9,1017
1996,10,989
1996,11,1020
1996,12,1020
1996,13,1054
1996,14,1020
1996,15,1032
1996,16,1037
1996,17,1027
1996,18,975
1996,19,976
1996,20,1035
1996,21,1000
1996,22,997
1996,23,1049
1996,24,1062
1996,25,1057
1996,26,1035
1996,27,993
1996,28,1081
1996,29,1019
1996,30,1063
1996,31,1043
1996,32,1043
1996,33,1009
1996,34,1053
1996,35,1046
1996,36,1003
1996,37,1088
1996,38,1087
1996,39,1022
1996,40,1041
1996,41,1017
1996,42,1082
1996,43,1034
1996,44,1005
1996,45,1040
1996,46,981
1996,47,992
1996,48,1022
1996,49,1013
1996,50,1070
1996,51,1039
1996,52,1016
1997,1,1119
1997,2,1053
1997,3,958
1997,4,1047
1997,5,1088
1997,6,1046
1997,7,1036
1997,8,1027
1997,9,1041
1997,10,986
1997,11,1004
1997,12,1123
1997,13,1116
1997,14,1026
1997,15,1068
1997,16,1037
1997,17,1051
1997,18,1057
1997,19,974
1997,20,1069
1997,21,1051
1997,22,1024
1997,23,1050
1997,24,1078
1997,25,1062
1997,26,1082
1997,27,1050
1997,28,1043
1997,29,1005
1997,30,1054
1997,31,1139
1997,32,1096
1997,33,1024
1997,34,1058
1997,35,1122
1997,36,1098
1997,37,1030
1997,38,974
1997,39,1059
1997,40,1087
1997,41,1012
1997,42,1002
1997,43,1030
1997,44,1038
1997,45,1024
1997,46,996
1997,47,1061
1997,48,996
1997,49,1049
1997,50,1007
1997,51,1069
1997,52,969
1998,1,557
1998,2,992
1998,3,1066
1998,4,1048
1998,5,988
1998,6,1018
1998,7,1051
1998,8,1034
1998,9,1014
1998,10,1035
1998,11,953
1998,12,1052
1998,13,1038
1998,14,1055
1998,15,1076
1998,16,1007
1998,17,1038
1998,18,1040
1998,19,1064
1998,20,1035
1998,21,973
1998,22,1032
1998,23,1036
1998,24,1059
1998,25,1011
1998,26,970
1998,27,1007
1998,28,1036
1998,29,1066
1998,30,1048
1998,31,1083
1998,32,1065
1998,33,1096
1998,34,1078
1998,35,1046
1998,36,973
1998,37,976
1998,38,985
1998,39,1039
1998,40,1072
1998,41,1028
1998,42,1051
1998,43,1056
1998,44,1038
1998,45,1073
1998,46,1029
1998,47,1116
1998,48,981
1998,49,1036
1998,50,1065
1998,51,1015
1998,52,955
1998,53,600
1999,1,1004
1999,2,970
1999,3,1032
1999,4,1075
1999,5,1025
1999,6,947
1999,7,1025
1999,8,1034
1999,9,1063
1999,10,1020
1999,11,1068
1999,12,1084
1999,13,1037
1999,14,1023
1999,15,1014
1999,16,1035
1999,17,1062
1999,18,1047
1999,19,1012
1999,20,1044
1999,21,1081
1999,22,1056
1999,23,1065
1999,24,1128
1999,25,1117
1999,26,1053
1999,27,1063
1999,28,1090
1999,29,1090
1999,30,1059
1999,31,1078
1999,32,1050
1999,33,1097
1999,34,1054
1999,35,1046
1999,36,1028
1999,37,1028
1999,38,1128
1999,39,1101
1999,40,1115
1999,41,1088
1999,42,1071
1999,43,1043
1999,44,1094
1999,45,1059
1999,46,1106
1999,47,992
1999,48,1132
1999,49,1043
1999,50,1104
1999,51,1054
1999,52,707
1999,53,349
2000,1,1093
2000,2,1095
2000,3,1072
2000,4,975
2000,5,1051
2000,6,1107
2000,7,1052
2000,8,1072
2000,9,1065
2000,10,1121
2000,11,1071
2000,12,1072
2000,13,1156
2000,14,1080
2000,15,1065
2000,16,1007
2000,17,1098
2000,18,1099
2000,19,1045
2000,20,1092
2000,21,1126
2000,22,1034
2000,23,1156
2000,24,1079
2000,25,1000
2000,26,1101
2000,27,1075
2000,28,1090
2000,29,1098
2000,30,1084
2000,31,1051
2000,32,1075
2000,33,1106
2000,34,1111
2000,35,1052
2000,36,1115
2000,37,1158
2000,38,1121
2000,39,1187
2000,40,1073
2000,41,1115
2000,42,1078
2000,43,1144
2000,44,1025
2000,45,1083
2000,46,1092
2000,47,1058
2000,48,1113
2000,49,1139
2000,50,1008
2000,51,1066
2000,52,1269
2001,1,1279
2001,2,1150
2001,3,1135
2001,4,1163
2001,5,1257
2001,6,1143
2001,7,1160
2001,8,1175
2001,9,1133
2001,10,1167
2001,11,1251
2001,12,1153
2001,13,1178
2001,14,1210
2001,15,1178
2001,16,1280
2001,17,1255
2001,18,1250
2001,19,1181
2001,20,1243
2001,21,1180
2001,22,1224
2001,23,1237
2001,24,1163
2001,25,1237
2001,26,1205
2001,27,1205
2001,28,1203
