Origin,start_lat,start_lon,Dest,end_lat,end_lon,Total
ATL,33.6367,-84.428101,DEN,39.86169815,-104.6729965,838
ATL,33.6367,-84.428101,DFW,32.896801,-97.038002,1898
ATL,33.6367,-84.428101,DTW,42.21239853,-83.35340118,1258
ATL,33.6367,-84.428101,EVV,38.03699875,-87.53240204,89
ATL,33.6367,-84.428101,EWR,40.69250107,-74.16870117,1201
ATL,33.6367,-84.428101,FLL,26.072599,-80.152702,1205
ATL,33.6367,-84.428101,FWA,40.97850037,-85.19509888,90
ATL,33.6367,-84.428101,GNV,29.69009972,-82.27179718,341
ATL,33.6367,-84.428101,GSO,36.09780121,-79.93730164,929
ATL,33.6367,-84.428101,GSP,34.89569855,-82.21890259,1221
ATL,33.6367,-84.428101,HNL,21.32062,-157.924228,63
ATL,33.6367,-84.428101,HOU,29.64539909,-95.27890015,600
ATL,33.6367,-84.428101,HSV,34.6371994,-86.77510071,388
ATL,33.6367,-84.428101,IAD,38.94449997,-77.45580292,667
ATL,33.6367,-84.428101,IAH,29.9843998,-95.34140015,1083
ATL,33.6367,-84.428101,IND,39.7173,-86.294403,682
ATL,33.6367,-84.428101,JAN,32.31119919,-90.07589722,441
ATL,33.6367,-84.428101,JAX,30.49410057,-81.68789673,1589
ATL,33.6367,-84.428101,JFK,40.63980103,-73.77890015,253
ATL,33.6367,-84.428101,LAS,36.08010101,-115.1520004,169
ATL,33.6367,-84.428101,LAX,33.94250107,-118.4079971,771
ATL,33.6367,-84.428101,LEX,38.03649902,-84.60590363,364
ATL,33.6367,-84.428101,LGA,40.77719879,-73.87259674,1549
ATL,33.6367,-84.428101,LIT,34.72940063,-92.22429657,266
ATL,33.6367,-84.428101,MCI,39.2976,-94.713898,870
ATL,33.6367,-84.428101,MCO,28.42939949,-81.30899811,1680
ATL,33.6367,-84.428101,MEM,35.04240036,-89.97669983,1098
ATL,33.6367,-84.428101,MGM,32.30059814,-86.39399719,529
ATL,33.6367,-84.428101,MIA,25.79319954,-80.29060364,1553
ATL,33.6367,-84.428101,MKE,42.94720078,-87.89659882,247
ATL,33.6367,-84.428101,MLB,28.10280037,-80.64530182,591
ATL,33.6367,-84.428101,MLU,32.51089859,-92.03769684,90
ATL,33.6367,-84.428101,MOB,30.69120026,-88.24279785,811
ATL,33.6367,-84.428101,MSP,44.882,-93.221802,775
ATL,33.6367,-84.428101,MSY,29.99340057,-90.25800323,1101
ATL,33.6367,-84.428101,OKC,35.39310074,-97.60070038,175
